accident_no,atmosph_cond_desc
T20060005148,Clear
T20060005156,Clear
T20060005159,Clear
T20060005169,Clear
T20060005175,Clear
T20060005180,Clear
T20060005183,Clear
T20060005186,Clear
T20060005190,Clear
T20060005192,Clear
T20060005193,Clear
T20060005202,Clear
T20060005218,Clear
T20060005226,Clear
T20060005229,Clear
T20060005233,Clear
T20060005235,Clear
T20060005237,Clear
T20060005251,Clear
T20060005252,Clear
T20060005257,Clear
T20060005261,Not known
T20060005264,Clear
T20060005265,Not known
T20060005268,Clear
T20060005278,Clear
T20060005279,Clear
T20060005280,Clear
T20060005281,Clear
T20060005285,Clear
T20060005286,Raining
T20060005288,Clear
T20060005289,Not known
T20060005292,Raining
T20060005293,Clear
T20060005296,Clear
T20060005297,Clear
T20060005304,Clear
